designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 2249335984222260992,2249335984222260992,295.96963750276996,68.21654463400851,0.3875463598649118,-6.285591103941148,3.833534034522212,0.9948944,20.494513,1.7742062,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336014287018112,2249336014287018112,295.95732474690425,68.21252726437545,0.2738974552105991,0.5570638304449103,2.7141540674678333,1.0926312,19.059881,0.95788765,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336048646771456,2249336048646771456,295.9602495023549,68.22590662418932,0.45582817568985523,-1.5976662930566168,-2.765279342840068,1.0596267,17.627867,1.2362785,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4533.0044,4.5822,-0.9245,1430.6096,0.0144,0.0112,0.006
Gaia DR3 2249336048646774400,2249336048646774400,295.9517592281843,68.22870043083235,0.15351407922900617,-1.0651020460770972,-1.749382642093648,0.9979269,19.31822,0.6229458,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336052942877056,2249336052942877056,295.9562664598361,68.2281583583819,0.425915088168619,-6.5343712183619225,-4.456034242116602,1.0464678,17.919647,1.0867462,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4942.472,4.6878,-0.6311,1834.7524,0.135,0.1077,0.0574
Gaia DR3 2249336083006484224,2249336083006484224,295.89603688706177,68.20026885589212,0.43956507921602445,-1.8081969003570646,8.482811140593553,0.9963466,18.94818,1.1117649,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4816.9897,4.8878,-1.9594,2028.1053,0.0057,0.0045,0.0025
Gaia DR3 2249336087301475840,2249336087301475840,295.8866900077469,68.20717966439936,-0.4056726770073924,-5.399611818789925,-4.1708962729618415,1.1034638,20.57141,1.5299721,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336087302611712,2249336087302611712,295.87308531703343,68.2004255647853,0.08629004458429274,-0.3150867647291916,-1.4350833137168901,0.98887396,19.504787,0.91970444,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336117366234496,2249336117366234496,295.9131291190064,68.21314674370446,0.4571962140803672,-5.243575350539189,-6.5445561196844135,1.0075035,18.380714,1.6996441,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3867.5906,4.3962,-0.7829,1548.5328,0.0031,0.0023,0.0012
Gaia DR3 2249336121662351616,2249336121662351616,295.9018598336396,68.20418215343093,1.1682960335777062,-7.4549866198050685,-4.766909831395231,1.0913826,14.439329,1.0357628,-37.07797,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5410.421,4.3612,0.273,817.8941,0.2777,0.2257,0.1193
